language,type,aliases_count,extensions_count,filenames_count
SurrealQL,programming,1,1,0
Survex data,data,0,1,0
Svelte,markup,0,1,0
SVG,data,0,1,0
Sway,programming,0,1,0
Sweave,prose,0,1,0
Swift,programming,0,1,0
SWIG,programming,0,3,0
SystemVerilog,programming,0,3,0
Tact,programming,0,1,0
Talon,programming,0,1,0
Tcsh,programming,0,2,0
Tea,markup,0,1,0
Teal,programming,0,1,0
templ,markup,0,1,0
Terra,programming,0,1,0
Terraform Template,markup,0,1,0
TeX,markup,1,14,0
Texinfo,prose,0,3,0
TextGrid,data,0,1,0
Textile,prose,0,1,0
Thrift,programming,0,1,0
TI Program,programming,0,2,0
TL-Verilog,programming,0,1,0
TLA,programming,0,1,0
TMDL,data,1,1,0
Toit,programming,0,1,0
Tree-sitter Query,programming,1,1,0
TSPLIB data,data,2,1,0
TSQL,programming,0,1,0
TSV,data,1,2,0
TSX,programming,1,1,0
Turing,programming,0,2,0
Turtle,data,0,1,0
Twig,markup,0,1,0
TXL,programming,0,1,0
Type Language,data,1,1,0
TypeScript,programming,1,3,0
TypeSpec,programming,1,1,0
Typst,programming,1,1,0
Unified Parallel C,programming,0,1,0
Unity3D Asset,data,0,7,0
Unix Assembly,programming,3,2,0
Uno,programming,0,1,0
UnrealScript,programming,0,1,0
Untyped Plutus Core,programming,0,1,0
UrWeb,programming,2,2,0
V,programming,1,1,0
Vala,programming,0,2,0
Valve Data Format,data,2,1,0
VBA,programming,1,4,0
VBScript,programming,0,1,0
vCard,data,2,1,0
VCL,programming,0,1,0
Velocity Template Language,markup,2,1,0
Vento,markup,0,1,0
Verilog,programming,0,2,0
VHDL,programming,0,8,0
Vim Help File,prose,2,1,0
Vim Snippet,markup,4,3,0
Visual Basic .NET,programming,4,2,0
Visual Basic 6.0,programming,5,5,0
Volt,programming,0,1,0
Vue,markup,0,1,0
Vyper,programming,0,1,0
Wavefront Material,data,0,1,0
Wavefront Object,data,0,1,0
WDL,programming,1,1,0
Web Ontology Language,data,0,1,0
WebAssembly,programming,2,2,0
WebAssembly Interface Type,data,1,1,0
WebIDL,programming,0,1,0
WebVTT,data,1,1,0
WGSL,programming,0,1,0
Whiley,programming,0,1,0
Wikitext,prose,2,3,0
Win32 Message File,data,0,1,0
Windows Registry Entries,data,0,1,0
wisp,programming,0,1,0
Witcher Script,programming,0,1,0
Wolfram Language,programming,5,10,0
Wollok,programming,0,1,0
World of Warcraft Addon Data,data,0,1,0
Wren,programming,1,1,0
X BitMap,data,1,1,0
X PixMap,data,1,2,0
X10,programming,1,1,0
xBase,programming,3,3,0
XC,programming,0,1,0
XML Property List,data,0,7,0
Xojo,programming,0,6,0
Xonsh,programming,0,1,0
XPages,data,0,2,0
XProc,programming,0,2,0
XQuery,programming,0,5,0
XS,programming,0,1,0
XSLT,programming,1,2,0
Xtend,programming,0,1,0
Yacc,programming,0,3,0
YANG,data,0,1,0
YARA,programming,0,2,0
YASnippet,markup,2,1,0
Yul,programming,0,1,0
ZAP,programming,0,2,0
Zeek,programming,1,2,0
ZenScript,programming,0,1,0
Zephir,programming,0,1,0
Zig,programming,0,2,0
ZIL,programming,0,2,0
Zimpl,programming,0,3,0
Zmodel,data,0,1,0
