language,type,extensions_count,aliases_count,filenames_count
TSQL,programming,1,0,0
Turtle,data,1,0,0
Twig,markup,1,0,0
TXL,programming,1,0,0
Unified Parallel C,programming,1,0,0
Uno,programming,1,0,0
UnrealScript,programming,1,0,0
Untyped Plutus Core,programming,1,0,0
VBScript,programming,1,0,0
VCL,programming,1,0,0
Vento,markup,1,0,0
Volt,programming,1,0,0
Vue,markup,1,0,0
Vyper,programming,1,0,0
Wavefront Material,data,1,0,0
Wavefront Object,data,1,0,0
Web Ontology Language,data,1,0,0
WebIDL,programming,1,0,0
Wget Config,data,0,1,1
WGSL,programming,1,0,0
Whiley,programming,1,0,0
Win32 Message File,data,1,0,0
Windows Registry Entries,data,1,0,0
wisp,programming,1,0,0
Witcher Script,programming,1,0,0
Wollok,programming,1,0,0
World of Warcraft Addon Data,data,1,0,0
XC,programming,1,0,0
Xonsh,programming,1,0,0
XS,programming,1,0,0
Xtend,programming,1,0,0
YANG,data,1,0,0
Yul,programming,1,0,0
ZenScript,programming,1,0,0
Zephir,programming,1,0,0
Zmodel,data,1,0,0
Ant Build System,data,0,0,2
Browserslist,data,0,0,2
Cloud Firestore Security Rules,data,0,0,1
CODEOWNERS,data,0,0,1
Dune,programming,0,0,1
Elvish Transcript,programming,0,0,0
Gemfile.lock,data,0,0,1
Isabelle ROOT,programming,0,0,1
JAR Manifest,data,0,0,1
Julia REPL,programming,0,0,0
Maven POM,data,0,0,1
Meson,programming,0,0,2
Pip Requirements,data,0,0,4
Procfile,programming,0,0,1
Quake,programming,0,0,2
Record Jar,data,0,0,1
Singularity,programming,0,0,1
Soong,data,0,0,1
X Font Directory Index,data,0,0,4
XCompose,data,0,0,3
Xmake,programming,0,0,1
