language,type,aliases,extensions,filenames
M3U,data,hls playlist; m3u playlist,.m3u; .m3u8,
M4,programming,,.m4; .mc,
M4Sugar,programming,autoconf,.m4,configure.ac
Macaulay2,programming,m2,.m2,
Makefile,programming,bsdmake; make; mf,.mak; .d; .make; .makefile; .mk; .mkfile,BSDmakefile; GNUmakefile; Kbuild; Makefile; Makefile.am; Makefile.boot; Makefile.frag; Makefile.in; Makefile.inc; Makefile.wat; makefile; makefile.sco; mkfile
Mako,programming,,.mako; .mao,
Markdown,prose,md; pandoc,.md; .livemd; .markdown; .mdown; .mdwn; .mkd; .mkdn; .mkdown; .ronn; .scd; .workbook,contents.lr
Marko,markup,markojs,.marko,
Mask,markup,,.mask,
Mathematical Programming System,programming,,.mps,
MATLAB,programming,octave,.matlab; .m,
Maven POM,data,,,pom.xml
Max,programming,max/msp; maxmsp,.maxpat; .maxhelp; .maxproj; .mxt; .pat,
MAXScript,programming,,.ms; .mcr,
mcfunction,programming,,.mcfunction,
mdsvex,markup,,.svx,
MDX,markup,,.mdx,
Mercury,programming,,.m; .moo,
Mermaid,markup,mermaid example,.mmd; .mermaid,
Meson,programming,,,meson.build; meson_options.txt
Metal,programming,,.metal,
MeTTa,programming,,.metta,
Microsoft Developer Studio Project,data,,.dsp,
Microsoft Visual Studio Solution,data,,.sln,
MiniD,programming,,.minid,
MiniYAML,data,,.yaml; .yml,
MiniZinc,programming,,.mzn,
MiniZinc Data,data,,.dzn,
Mint,programming,,.mint,
Mirah,programming,,.druby; .duby; .mirah,
mIRC Script,programming,,.mrc,
MLIR,programming,,.mlir,
Modelica,programming,,.mo,
Modula-2,programming,,.mod,
Modula-3,programming,,.i3; .ig; .m3; .mg,
Module Management System,programming,,.mms; .mmk,descrip.mmk; descrip.mms
Mojo,programming,,.mojo,
Monkey,programming,,.monkey; .monkey2,
Monkey C,programming,,.mc,
Moocode,programming,,.moo,
MoonBit,programming,,.mbt,
MoonScript,programming,,.moon,
Motoko,programming,,.mo,
Motorola 68K Assembly,programming,m68k,.asm; .i; .inc; .s; .x68,
Move,programming,,.move,
MQL4,programming,,.mq4; .mqh,
MQL5,programming,,.mq5; .mqh,
MTML,markup,,.mtml,
MUF,programming,,.muf; .m,
mupad,programming,,.mu,
Muse,prose,amusewiki; emacs muse,.muse,
Mustache,markup,,.mustache,
Myghty,programming,,.myt,
nanorc,data,,.nanorc,.nanorc; nanorc
Nasal,programming,,.nas,
NASL,programming,,.nasl; .inc,
NCL,programming,,.ncl,
Nearley,programming,,.ne; .nearley,
Nemerle,programming,,.n,
NEON,data,nette object notation; ne-on,.neon,
nesC,programming,,.nc,
NetLinx,programming,,.axs; .axi,
NetLinx+ERB,programming,,.axs.erb; .axi.erb,
NetLogo,programming,,.nlogo,
NewLisp,programming,,.nl; .lisp; .lsp,
Nextflow,programming,,.nf,nextflow.config
